code, adultprice, date, signdate
5548NYCHTLAPT,$19.99,7 May 2015,2015-04-29 00:58:05
5548NYCAPTHTL,$19.99,30 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,8 May 2015,2015-04-29 00:58:05
5548NYCAPTHTL,$19.99,31 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,9 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,30 Apr 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,10 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,1 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,11 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,2 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,12 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,3 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,13 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,4 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,14 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,5 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,15 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,16 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,26 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,4 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,17 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,5 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,27 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,18 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,6 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,28 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,19 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,29 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,7 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,20 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,30 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,21 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,8 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,31 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,22 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,9 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,30 Apr 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,23 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,10 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,1 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,24 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,11 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,2 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,25 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,12 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,3 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,13 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,14 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,24 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,15 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,25 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,16 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,26 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,17 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,27 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,18 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,28 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,19 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,29 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,20 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,30 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,21 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,31 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,22 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,23 May 2015,2015-04-29 00:58:17
